bins,alert,Eureka,CB
379,9.962739828664123e-17,1.935912940467799e-16,2.3471069696447137e-16
380,9.94995198834621e-17,1.938668671776743e-16,2.425028618524561e-16
381,9.699014599496257e-17,1.941465340903059e-16,2.350399167062173e-16
382,9.548013329154471e-17,1.9082425170603712e-16,2.335786293324732e-16
383,9.19602337750257e-17,1.8726224913015456e-16,2.243079033549533e-16
384,9.150347902251582e-17,1.8269584657268358e-16,2.196771040158252e-16
385,9.12108771559516e-17,1.7895945800452258e-16,2.1236243409362978e-16
386,8.967742194106004e-17,1.7546334119822315e-16,2.1858739073336855e-16
387,9.046569135993942e-17,1.7041058220307676e-16,2.177914672604059e-16
388,8.646389189573973e-17,1.646131364275473e-16,2.1165873349583698e-16
389,8.627516942813844e-17,1.669693105100373e-16,2.0432918237840716e-16
390,8.212628955267706e-17,1.616984341356112e-16,2.0462265511479733e-16
391,8.2628107709367e-17,1.5808526327735703e-16,2.0009955498008493e-16
392,8.184713824800106e-17,1.5844021898471854e-16,1.9401884399812555e-16
393,7.989346381405243e-17,1.5315668389030008e-16,1.9183799341501719e-16
394,7.770940544851029e-17,1.5063361348275144e-16,1.8950184030169792e-16
395,7.70575968307534e-17,1.4815686722648854e-16,1.9066730401438855e-16
396,7.61740770354076e-17,1.4765629269622436e-16,1.8243729454948953e-16
397,7.426393586920483e-17,1.41778859861965e-16,1.7926809531866593e-16
398,7.387753686487544e-17,1.3755391391019265e-16,1.7917865496180908e-16
399,7.138728327885265e-17,1.3918960933773443e-16,1.7014090101241662e-16
400,7.146381053851209e-17,1.3663496749478924e-16,1.6337215871450874e-16
401,7.221142809387545e-17,1.3767619120629363e-16,1.6583566368882918e-16
402,7.011770824091532e-17,1.327328210370092e-16,1.6325224235815007e-16
403,6.945888371525169e-17,1.246931241787562e-16,1.6049926694662596e-16
404,6.744553253923945e-17,1.2675076701490833e-16,1.5723805698759917e-16
405,6.545622630842879e-17,1.2217812870472452e-16,1.5490196861936424e-16
406,6.589177023942801e-17,1.2400337755721914e-16,1.5254665623916366e-16
407,6.309013498113567e-17,1.194272452592106e-16,1.4802814496221729e-16
408,6.278854098838716e-17,1.189554608167949e-16,1.4696448298531784e-16
409,6.391931759446196e-17,1.1623307985741613e-16,1.444558311712585e-16
410,6.132125589105795e-17,1.143086875184454e-16,1.4560276887648496e-16
411,6.102416365951284e-17,1.1238304489496338e-16,1.3865551104705334e-16
412,6.003118900818096e-17,1.0767067140345436e-16,1.3732822586390305e-16
413,5.807556831233067e-17,1.091663108348552e-16,1.36009863773226e-16
414,5.76771011867594e-17,1.0837352497740718e-16,1.3085742502499944e-16
415,5.570029524841653e-17,1.0386178568950675e-16,1.3078962279727826e-16
416,5.608043956170998e-17,1.0094412232972141e-16,1.267302005066029e-16
417,5.595346333374038e-17,1.0153005147303315e-16,1.2625723272152724e-16
418,5.5204834705510983e-17,9.798583497080613e-17,1.2262719395091103e-16
419,5.454175413485175e-17,9.618897490789453e-17,1.2249826069794803e-16
420,5.330427894781678e-17,9.387794199372524e-17,1.198694277764617e-16
421,5.3753887260246313e-17,9.538764499930283e-17,1.195579618303716e-16
422,5.196654488575162e-17,9.368449447634541e-17,1.1803707032007063e-16
423,5.124211300668383e-17,9.106706193116182e-17,1.1637035827981313e-16
424,5.099230205012767e-17,8.94639558977374e-17,1.1486266638105481e-16
425,5.0896417624467925e-17,8.813197029987689e-17,1.126237698975685e-16
426,4.913244980890228e-17,8.893256399902447e-17,1.097202718670226e-16
427,4.8800393485058664e-17,8.534841275682075e-17,1.1160674429668006e-16
428,4.75226689787816e-17,8.318401354262539e-17,1.0697396972021712e-16
429,4.601801640970529e-17,8.120326826883615e-17,1.0732581272286657e-16
430,4.736587429893767e-17,8.11348096240068e-17,1.0490840159464721e-16
431,4.642623464834461e-17,8.228219077477395e-17,1.0246285259141176e-16
432,4.567329684392226e-17,7.78210381967813e-17,1.0376091278407886e-16
433,4.458773131101393e-17,7.713722609782246e-17,1.0072407434121023e-16
434,4.424305151420025e-17,7.584127335938385e-17,9.830444075917267e-17
435,4.318271762007546e-17,7.529255437368349e-17,9.716120224385894e-17
436,4.352987157435658e-17,7.47032102664004e-17,9.636468825749424e-17
437,4.2761873683292916e-17,7.261338739340124e-17,9.527355095684254e-17
438,4.160676093981596e-17,7.21256009353008e-17,9.335800222123881e-17
439,4.1104532945597514e-17,7.166036493505557e-17,9.38856510545455e-17
440,4.1127034188914036e-17,6.937266936362166e-17,9.04930166828466e-17
441,4.0435507545674016e-17,6.876109526262471e-17,8.970790197904144e-17
442,3.941003494990249e-17,6.788207843055894e-17,9.02771856679807e-17
443,3.9236432274828565e-17,6.570994968407158e-17,8.788122829832269e-17
444,3.8186112467659274e-17,6.520045453687132e-17,8.598645502080892e-17
445,3.8503750958950034e-17,6.379932256193184e-17,8.845226088100012e-17
446,3.6853996131409886e-17,6.34213138314514e-17,8.57120230454006e-17
447,3.689443269475242e-17,6.215058777668882e-17,8.531099633737882e-17
448,3.735452007661705e-17,6.286781828205786e-17,8.246389574459446e-17
449,3.681240895304742e-17,6.167572498185642e-17,8.227724301937412e-17
450,3.573166037244488e-17,6.016406138720926e-17,8.079582865597181e-17
451,3.5556750647329846e-17,5.886908708684775e-17,7.864388687703338e-17
452,3.544342898043583e-17,5.911318466094579e-17,7.860940574311303e-17
453,3.5153787906680443e-17,5.740873009725881e-17,7.692603276945876e-17
454,3.367328955503242e-17,5.650360998870827e-17,7.500122403865384e-17
455,3.4240560866727683e-17,5.531937238576271e-17,7.495765859087679e-17
456,3.3587446334089335e-17,5.498741356708275e-17,7.499574895819539e-17
457,3.311948124501418e-17,5.376424135348016e-17,7.382099825349598e-17
458,3.317522808275915e-17,5.252238696211096e-17,7.0982049824031e-17
459,3.235881036768585e-17,5.2384873255352514e-17,7.09613391110253e-17
460,3.2216068387210674e-17,5.134758380371044e-17,7.127709526315308e-17
461,3.11334914166947e-17,5.192570485075196e-17,7.05405475275034e-17
462,3.1685040866426605e-17,5.135543123995293e-17,6.93451645418508e-17
463,3.1166219017532413e-17,4.9880480119512276e-17,6.786625157996495e-17
464,3.047142304651515e-17,4.9883090425060376e-17,6.769995218799953e-17
465,2.998913121855622e-17,4.868741054608189e-17,6.698401318165626e-17
466,2.988095261407045e-17,4.81177409693799e-17,6.593085480240124e-17
467,2.9510242916365794e-17,4.8298097559979635e-17,6.48925429447278e-17
468,2.9379700169180836e-17,4.783940271788772e-17,6.532852345995933e-17
469,2.889902243393556e-17,4.619381474254073e-17,6.478646993393622e-17
470,2.8696814449724606e-17,4.675979462997679e-17,6.36896488576122e-17
471,2.82925706208189e-17,4.628768577995963e-17,6.204214379745832e-17
472,2.796359698784869e-17,4.5436701418769686e-17,6.210751487614742e-17
473,2.7714559725682335e-17,4.461755408347729e-17,6.182127006877647e-17
474,2.765280869079789e-17,4.4382820209212115e-17,6.094589353050628e-17
475,2.7299510709042495e-17,4.423687220162648e-17,6.03146028354401e-17
476,2.7395567568904574e-17,4.246101310435152e-17,5.875808383806747e-17
477,2.651883605040047e-17,4.2268281853687784e-17,5.871241211680145e-17
478,2.6274275836263295e-17,4.2094992138298066e-17,5.957495115768707e-17
479,2.6720550876102594e-17,4.220884194557073e-17,5.777570136547561e-17
480,2.618750297484103e-17,4.15961895081085e-17,5.95464456611128e-17
481,2.6012028430310797e-17,4.0807293010588364e-17,5.700471919674322e-17
482,2.5596735165559636e-17,4.0398658675624975e-17,5.869603013110292e-17
483,2.556707761492555e-17,4.0387731708221157e-17,5.798963480206643e-17
484,2.4783676756548815e-17,4.006162627207682e-17,5.832602323514736e-17
485,2.4405352534988958e-17,3.920855158765988e-17,5.764112285810975e-17
486,2.419935439599945e-17,3.922922216237357e-17,5.907376155814271e-17
487,2.325779466750763e-17,3.9392150695712054e-17,5.677879724684532e-17
488,2.3321820490041992e-17,3.8740222495139284e-17,5.776039548044399e-17
489,2.341129710079805e-17,3.835404468969378e-17,5.797432891703481e-17
490,2.2820246477249853e-17,3.716609040388397e-17,5.863752091245234e-17
491,2.2699838557287138e-17,3.754025104741113e-17,5.742761628076132e-17
492,2.1670887811195763e-17,3.694185396916835e-17,5.714282850545483e-17
493,2.133566857237014e-17,3.542834672793163e-17,5.622156681629743e-17
494,2.134232542348215e-17,3.44030486275175e-17,5.681524070412504e-17
495,2.0561679356162144e-17,3.356458496348025e-17,5.709869224830579e-17
496,2.0250517728838406e-17,3.312100000088178e-17,5.532809112980542e-17
497,2.0254676455847e-17,3.0901717342456113e-17,5.503211276715325e-17
498,1.9820197282374723e-17,3.084358094467693e-17,5.273693502623468e-17
499,1.786446980111059e-17,2.9848238572265093e-17,5.006720823243216e-17
500,1.664475022811196e-17,2.8247014340586354e-17,4.994669200765467e-17
501,1.581792936893728e-17,2.792947849713373e-17,4.698146041128005e-17
502,1.4246503136049197e-17,2.792762621352945e-17,4.658820966958743e-17
503,1.1785101921299794e-17,2.5955225304956364e-17,4.619495892789483e-17
504,1.1362051891656775e-17,2.5005810188293013e-17,4.5408457444509615e-17
505,1.0978883271776931e-17,2.3976341403768308e-17,4.5408457444509615e-17
506,9.847376571461842e-18,2.2520440392907737e-17,4.5408457444509615e-17
507,9.617101592689082e-18,2.1439628336387962e-17,4.5408457444509615e-17
508,9.617101592689082e-18,2.130452682932299e-17,4.5408457444509615e-17
509,9.674670337382273e-18,2.130452682932299e-17,4.5408457444509615e-17
510,9.628615341627721e-18,2.130452682932299e-17,4.5408457444509615e-17
511,9.628615341627721e-18,2.130452682932299e-17,4.5408457444509615e-17
512,9.628615341627721e-18,2.130452682932299e-17,4.5408457444509615e-17
