bins,alert,Eureka,CB
29,1.448586046635947e-17,2.0141349198893326e-17,3.849317154504262e-17
30,1.4347848612331074e-17,2.0068434859483316e-17,3.936421935600565e-17
31,1.4700970273019353e-17,2.026078738557799e-17,3.942215776528424e-17
32,1.4572211793229678e-17,2.0403740043535567e-17,4.0086133999694964e-17
33,1.4443767989199416e-17,2.0199970907942848e-17,3.911240898171742e-17
34,1.453391124586062e-17,2.0258052254966412e-17,3.96126656577317e-17
35,1.4784828014863597e-17,2.0298882301601762e-17,3.892343655338693e-17
36,1.4581053154466564e-17,2.0600815374763327e-17,3.9648144460266437e-17
37,1.450485924378055e-17,2.047483364537445e-17,3.989716157136447e-17
38,1.479436099838076e-17,2.004748330831224e-17,3.968004576061779e-17
39,1.4535649248571123e-17,2.0262224505185335e-17,3.9540354286951575e-17
40,1.4397123320863264e-17,2.084406774465961e-17,3.949446913606436e-17
41,1.452648244011298e-17,2.0156855785446324e-17,3.898137496266552e-17
42,1.4585764295579205e-17,2.0172197966791124e-17,4.046819415404191e-17
43,1.4678188727359e-17,2.0356482055040872e-17,3.9557520511643306e-17
44,1.433281588401371e-17,2.0612818988838265e-17,4.041025574476332e-17
45,1.4542491962076312e-17,2.061076548043328e-17,3.989716157136447e-17
46,1.4657803530703298e-17,2.0573692520019923e-17,4.1659183667303034e-17
47,1.42179834779297e-17,2.083215563100302e-17,4.057412398769667e-17
48,1.4639340956135176e-17,2.050776373978963e-17,4.23862112772927e-17
49,1.4796809959466764e-17,2.0546761292893067e-17,4.18315606803138e-17
50,1.4535617481273993e-17,2.089702132264046e-17,4.2574970276001994e-17
51,1.4636748584375207e-17,2.0574755608612775e-17,4.26785804065466e-17
52,1.4658153067769257e-17,2.1140124986749472e-17,4.3526986912359456e-17
53,1.4861342699165618e-17,2.0603873573249444e-17,4.359157375205536e-17
54,1.481975170913863e-17,2.0915161346498487e-17,4.266301439105613e-17
55,1.477648471147168e-17,2.0703946031121883e-17,4.535438008698712e-17
56,1.475349359334778e-17,2.1052254245770842e-17,4.73867008164014e-17
57,1.4951961302411832e-17,2.1113027428611154e-17,4.447149244725391e-17
